%H2SO4,H0
2,0.53
4,0.2
6,-0.02
8,-0.2
10,-0.35
12,-0.5
14,-0.65
16,-0.78
18,-0.92
20,-1.06
22,-1.2
24,-1.34
26,-1.47
28,-1.6
30,-1.73
32,-1.85
34,-1.99
36,-2.12
38,-2.27
40,-2.42
42,-2.6
44,-2.77
46,-2.95
48,-3.12
50,-3.3
52,-3.48
54,-3.68
56,-3.9
58,-4.13
60,-4.37
62,-4.62
64,-4.91
66,-5.2
68,-5.52
70,-5.82
72,-6.13
74,-6.47
76,-6.81
78,-7.13
80,-7.46
82,-7.8
84,-8.13
86,-8.42
88,-8.71
90,-9.01
92,-9.34
94,-9.66
96,-9.98
98,-10.43
99,-10.84
